ppe_id,ppe_class,person_id,score
5,no_helmet,3,0.0
5,no_helmet,5,0.0
5,no_helmet,11,0.0
5,no_helmet,31,0.0
5,no_helmet,22,0.0
0,helmet,1,0.8112000226974487
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,11,0.0
0,helmet,31,0.0
0,helmet,22,0.0
1,helmet,1,0.0
1,helmet,2,0.6340000033378601
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,11,0.0
1,helmet,31,0.0
1,helmet,22,0.7609999775886536
2,no_helmet,1,0.0
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.5224000215530396
2,no_helmet,11,0.0
2,no_helmet,31,0.0
2,no_helmet,22,0.0
3,no_helmet,1,0.0
3,no_helmet,2,0.5432999730110168
3,no_helmet,3,0.0
3,no_helmet,5,0.0
3,no_helmet,11,0.0
3,no_helmet,31,0.0
3,no_helmet,22,0.0
0,helmet,1,0.0
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,11,0.8032000064849854
0,helmet,31,0.0
0,helmet,22,0.0
0,helmet,12,0.0
1,no_helmet,1,0.0
1,no_helmet,2,0.0
1,no_helmet,3,0.0
1,no_helmet,5,0.5206999778747559
1,no_helmet,11,0.0
1,no_helmet,31,0.0
1,no_helmet,22,0.0
1,no_helmet,12,0.0
2,no_helmet,1,0.0
2,no_helmet,2,0.550000011920929
2,no_helmet,3,0.0
2,no_helmet,5,0.0
2,no_helmet,11,0.0
2,no_helmet,31,0.0
2,no_helmet,22,0.0
2,no_helmet,12,0.0
0,helmet,1,0.0
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,11,0.7996000051498413
0,helmet,31,0.0
0,helmet,22,0.0
1,helmet,1,0.7556999921798706
1,helmet,2,0.0
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,11,0.0
1,helmet,31,0.0
1,helmet,22,0.0
2,no_helmet,1,0.0
2,no_helmet,2,0.0
2,no_helmet,3,0.0
2,no_helmet,5,0.5128999948501587
2,no_helmet,11,0.0
2,no_helmet,31,0.0
2,no_helmet,22,0.0
0,helmet,1,0.7235000133514404
0,helmet,2,0.0
0,helmet,3,0.0
0,helmet,5,0.0
0,helmet,11,0.0
0,helmet,31,0.0
0,helmet,22,0.0
0,helmet,6,0.0
1,helmet,1,0.0
1,helmet,2,0.7883999943733215
1,helmet,3,0.0
1,helmet,5,0.0
1,helmet,11,0.0
1,helmet,31,0.0
1,helmet,22,0.0
1,helmet,6,0.0
2,helmet,1,0.0
2,helmet,2,0.0
2,helmet,3,0.0
2,helmet,5,0.0
2,helmet,11,0.7972999811172485
2,helmet,31,0.0
2,helmet,22,0.0
2,helmet,6,0.0
3,no_helmet,1,0.0
3,no_helmet,2,0.0
3,no_helmet,3,0.0
3,no_helmet,5,0.5194000005722046
3,no_helmet,11,0.0
3,no_helmet,31,0.0
3,no_helmet,22,0.0
